ID	Radius	FOV	Max_Speed	Max_Rotation	Max_Acceleration	Max_Angular_Acceleration	Frame_Number	Start_Location	Destination
64	0	5	2.4	180	6	90	138	5	1
65	-0.1	5	2.3	180	6	90	138	3	1
66	0.1	5	2.5	180	6	90	138	4	5
67	-0.05	5	2.5	180	6	90	138	5	4
68	-0.15	5	2.55	180	6	90	148	1	3
69	0.05	5	2.6	180	6	90	156	4	3
70	0	5	2.65	180	6	90	156	5	1
71	-0.1	5	2.4	180	6	90	162	1	5
72	0.1	5	2.3	180	6	90	172	3	4
73	-0.05	5	2.5	180	6	90	172	7	1
74	-0.15	5	2.5	180	6	90	174	6	8
75	0.05	5	2.55	180	6	90	186	8	5
76	0	5	2.6	180	6	90	192	2	6
77	-0.1	5	2.65	180	6	90	195	1	2
78	0.1	5	2.4	180	6	90	201	3	6
79	0	5	2.3	180	6	90	201	4	7
80	-0.1	5	2.5	180	6	90	204	5	8
81	0.1	5	2.5	180	6	90	204	1	5
82	-0.05	5	2.55	180	6	90	204	3	4
83	-0.15	5	2.6	180	6	90	213	4	3
84	0.05	5	2.65	180	6	90	213	5	1
85	0	5	2.4	180	6	90	216	3	1
86	-0.1	5	2.3	180	6	90	222	4	5
87	0.1	5	2.5	180	6	90	222	5	4
88	-0.05	5	2.5	180	6	90	228	1	3
89	-0.15	5	2.55	180	6	90	243	4	3
90	0.05	5	2.6	180	6	90	243	5	1
91	0	5	2.65	180	6	90	246	1	5
92	-0.1	5	2.4	180	6	90	255	3	4
93	0.1	5	2.3	180	6	90	255	7	1
94	-0.05	5	2.5	180	6	90	255	6	8
95	-0.15	5	2.5	180	6	90	270	8	5
96	0.05	5	2.55	180	6	90	282	2	6
97	0	5	2.6	180	6	90	282	1	2
98	-0.1	5	2.65	180	6	90	282	3	6
99	0.1	5	2.4	180	6	90	291	4	7
100	-0.05	5	2.3	180	6	90	291	5	8
101	-0.15	5	2.5	180	6	90	291	1	5
102	0.05	5	2.5	180	6	90	296	3	4
103	0	5	2.55	180	6	90	297	4	3
104	-0.1	5	2.6	180	6	90	303	5	1
105	0.1	5	2.65	180	6	90	303	3	1
106	-0.05	5	2.4	180	6	90	324	4	5
107	-0.15	5	2.3	180	6	90	324	5	4
108	0.05	5	2.5	180	6	90	321	1	3
109	0	5	2.5	180	6	90	336	4	3
110	-0.1	5	2.55	180	6	90	357	5	1
111	0.1	5	2.6	180	6	90	357	1	5
112	-0.05	5	2.65	180	6	90	363	3	4
113	-0.15	5	2.4	180	6	90	363	7	1
114	0.05	5	2.3	180	6	90	372	6	8
115	0	5	2.5	180	6	90	372	8	5
116	-0.1	5	2.5	180	6	90	372	2	6
117	0.1	5	2.55	180	6	90	372	1	2
118	0	5	2.6	180	6	90	378	3	6
119	-0.1	5	2.65	180	6	90	378	4	7
120	0.1	5	2.4	180	6	90	381	5	8
121	-0.05	5	2.3	180	6	90	381	1	5
122	-0.15	5	2.5	180	6	90	384	3	4
123	0.05	5	2.5	180	6	90	384	4	3
124	0	5	2.55	180	6	90	384	5	1
125	-0.1	5	2.6	180	6	90	390	3	1
126	0.1	5	2.65	180	6	90	390	4	5
127	-0.05	5	2.4	180	6	90	405	5	4
128	-0.15	5	2.3	180	6	90	411	1	3
129	0.05	5	2.5	180	6	90	414	4	3
130	0	5	2.5	180	6	90	414	5	1
131	-0.1	5	2.55	180	6	90	414	1	5
132	0.1	5	2.6	180	6	90	414	3	4
133	-0.05	5	2.65	180	6	90	423	7	1
134	-0.15	5	2.4	180	6	90	432	6	8
135	0.05	5	2.3	180	6	90	432	8	5
136	0	5	2.5	180	6	90	435	2	6
137	-0.1	5	2.5	180	6	90	435	1	2
138	0.1	5	2.55	180	6	90	438	3	6
139	-0.05	5	2.6	180	6	90	447	4	7
140	-0.15	5	2.65	180	6	90	450	5	8
141	0.05	5	2.4	180	6	90	462	1	5
142	0	5	2.3	180	6	90	465	3	4
143	-0.1	5	2.5	180	6	90	474	4	3
144	0.1	5	2.5	180	6	90	477	5	1
145	-0.05	5	2.55	180	6	90	477	3	1
146	-0.15	5	2.6	180	6	90	480	4	5
147	0.05	5	2.65	180	6	90	480	5	4
148	0	5	2.4	180	6	90	489	1	3
149	-0.1	5	2.3	180	6	90	489	4	3
150	0.1	5	2.5	180	6	90	495	5	1
151	-0.05	5	2.5	180	6	90	504	1	5
152	-0.15	5	2.55	180	6	90	510	3	4
153	0.05	5	2.6	180	6	90	510	7	1
154	0	5	2.65	180	6	90	519	6	8
155	-0.1	5	2.4	180	6	90	522	8	5
156	0.1	5	2.3	180	6	90	522	2	6
157	0	5	2.5	180	6	90	528	1	2
158	-0.1	5	2.5	180	6	90	534	3	6
159	0.1	5	2.55	180	6	90	534	4	7
160	-0.05	5	2.6	180	6	90	534	5	8
161	-0.15	5	2.65	180	6	90	537	1	5
162	0.05	5	2.4	180	6	90	543	3	4
163	0	5	2.3	180	6	90	549	4	3
164	-0.1	5	2.5	180	6	90	549	5	1
165	0.1	5	2.5	180	6	90	555	3	1
166	-0.05	5	2.55	180	6	90	555	4	5
167	-0.15	5	2.6	180	6	90	570	5	4
168	0.05	5	2.65	180	6	90	573	1	3
169	0	5	2.4	180	6	90	573	4	3
170	-0.1	5	2.3	180	6	90	576	5	1
171	0.1	5	2.5	180	6	90	576	1	5
172	-0.05	5	2.5	180	6	90	576	3	4
173	-0.15	5	2.55	180	6	90	576	7	1
174	0.05	5	2.6	180	6	90	579	6	8
175	0	5	2.65	180	6	90	588	8	5
176	-0.1	5	2.4	180	6	90	609	2	6
177	0.1	5	2.3	180	6	90	609	1	2
178	-0.05	5	2.5	180	6	90	612	3	6
179	-0.15	5	2.5	180	6	90	612	4	7
180	0.05	5	2.55	180	6	90	615	5	8
181	0	5	2.6	180	6	90	615	1	5
182	-0.1	5	2.65	180	6	90	627	3	4
183	0.1	5	2.4	180	6	90	633	4	3
184	-0.05	5	2.3	180	6	90	639	5	1
185	-0.15	5	2.5	180	6	90	645	3	1
186	0.05	5	2.5	180	6	90	645	4	5
187	0	5	2.55	180	6	90	645	5	4
188	-0.1	5	2.6	180	6	90	651	1	3
189	0.1	5	2.65	180	6	90	654	4	3
190	-0.05	5	2.4	180	6	90	654	5	1
191	-0.15	5	2.3	180	6	90	654	1	5
192	0.05	5	2.5	180	6	90	657	3	4
193	0	5	2.5	180	6	90	657	7	1
194	-0.1	5	2.55	180	6	90	657	6	8
195	0.1	5	2.6	180	6	90	657	8	5
196	0	5	2.65	180	6	90	657	2	6
197	-0.1	5	2.4	180	6	90	666	1	2
198	0.1	5	2.3	180	6	90	666	3	6
199	-0.05	5	2.5	180	6	90	672	4	7
200	-0.15	5	2.5	180	6	90	672	5	8
